NO.,업무구분(대),업무구분(중),요구사항 명,요구사항내용,필요대상,중요도,수용여부,난이도,비고,"UsecaseDiagram 담당자 "
,,,,,,,,,,
FR-001,접속관리,메인화면 페이지,회원가입,사용자는 카카오 계정을 통해서 회원가입할 수 있어야한다.,사용자,상,수용,중,,박승범
FR-002,접속관리,메인화면 페이지,로그인,사용자는 카카오 계정을 통해서 로그인 할 수 있어야한다.,사용자,상,수용,중,,박승범
FR-003,접속관리,마이 페이지,로그아웃,사용자는 로그아웃을 할 수 있어야한다.,사용자,상,수용,중,,박승범
FR-004,마이 페이지,관심 키워드 설정,관심 키워드 등록,사용자는 본인이 관심있는 키워드를 등록할 수 있다,사용자,상,수용,중,,박승범
FR-005,마이 페이지,관심 키워드 설정,관심 키워드 수정,사용자는 본인이 관심있는 키워드를 수정할 수 있다,사용자,상,수용,중,,박승범
FR-006,마이 페이지,투자 성향 설정,투자 성향 등록,사용자는 본인의 투자 성향을 등록할 수 있다.,사용자,상,수용,중,,박기태
FR-007,마이 페이지,투자 성향 설정,투자 성향 수정,사용자는 본인의 투자 성향을 수정할 수 있다.,사용자,상,수용,중,,박기태
FR-008,마이페이지,기사 요약 난이도 설정,기사 요약 난이도 등록,사용자는 기사를 요약해줄 때 반영시킬 난이도를 등록할수 있다.,사용자,상,수용,하,난이도 : 쉬움 / 중간 / 어려움,박기태
FR-009,기사관리,기사 크롤링,금융 기사 크롤링,시스템은 기사를 크롤링할 수 있다.,시스템,상,수용,중,"주기 : 하루 매 시간마다
언론사별로 그룹핑 : 한국경제, 매일경제 등",박기태
FR-010,기사관리,기사 크롤링,금융 기사 저장,시스템은 크롤링한 데이터를 데이터베이스에 저장한다.,시스템,상,수용,중,데이터베이스 : NoSQL 예상,박기태
FR-011,기사관리,기사 요약,AI 기반 기사 요약,시스템은 내부 AI를 활용하여 사용자가 원하는 수준으로 기사 내용을 요약한다.,시스템,상,수용,중,,박기태
FR-012,기사 제공,기사 전송,이메일 기사 전송,시스템은 사용자의 이메일로 요약된 기사를 전송한다.,사용자,중,수용,중,,최근호
FR-013,기사 제공,기사 검색,"기사제목, 태그기반 기사 검색","사용자는 요약된 기사들을 기사 제목, 태그들을 기반으로 검색할 수 있다.",사용자,상,수용,상,,최근호
FR-014,기사 제공,기사 읽어주기,TTS 기반 음성 기사 제공,사용자는 요약된 기사내용을 음성으로 제공받을 수 있다.,사용자,하,기각,중,,
FR-015,기사 알림,정기적 기사 요약,정기 리포트 제공,사용자는 당일 하루동안 요약된 기사들을 레포트 형식으로 제공받을 수 있다.,사용자,상,보류,상,,
FR-016,기사 추천,키워드 기반 기사 추천,키워드 기반 AI 기사 추천,사용자는 본인이 설정한 키워드를 바탕으로 기사들을 추천받을 수 있다.,사용자,중,수용,상,,최근호
FR-017,용어 학습,용어 개념 학습,단어별 쉬운 설명 제공,사용자는 기사 내용에 등장한 용어들의 쉬운 설명을 AI로부터 제공받을 수 있다.,사용자,상,수용,중,"단어 드래그 / 검색을 통해 설명을 볼 수 있음
사용자가 공부한 단어들을 바탕으로 자신만의 ""지식 그래프"" 생성 기능",최근호
FR-018,용어 학습,용어 히스토리,지식그래프 생성,,,,보류,,,
FR-019,용어 학습,용어 히스토리,지식그래프 조회,,,,보류,,,
FR-020,모의투자,모의 투자 상황 준비,"사용자 투자 성향 분석
⇒ 모의 투자 환경 세팅",등록된 투자 성향을 분석하여 모의 투자 상황을 준비한다.,시스템,상,수용,상,,최근호
FR-021,모의투자,모의 투자 상황 준비,사용자 투자 성향 업데이트,일정 주기마다 사용자의 투자 성향을 분석하여 업데이트한다.,시스템,상,보류,상,,
FR-022,모의투자,모의 투자 상황 분석,사용자 매수 / 매도 타이밍 분석,사용자가 모의 투자 상황에서 주식을 매도하고 매수한 타이밍을 기반으로 성향을 분석한다.,시스템,상,수용,상,,박정하
FR-023,모의투자,모의 투자 상황 분석,투자 조언 제공,사용자는 AI 가 분석한 매도 / 매수 타이밍을 기반으로 적절한 조언을 제공받을 수 있다.,사용자,,수용,,,박정하
FR-024,모의투자,학습 지원,과거 데이터 제공,과거 주가 차트 및 해당 시기의 관련 뉴스를 제공하여 학습을 지원한다.,시스템,중,보류,상,,
FR-025,모의투자,학습 지원,뉴스 연동,경제 뉴스와 주가 변동성을 연동한 모의 투자 경험을 제공한다.,시스템,상,보류,상,,
FR-026,게임형 투자,투자 리그,수익률 경쟁 시스템 제공,모의 투자 리그를 운영하여 사용자 간 투자 수익률 경쟁이 가능하도록 한다.,사용자,하,보류,상,,
FR-027,게임형 투자,테마형 투자,특정 주제별 투자 경험 제공,특정 테마를 기반으로 한 모의 투자 환경을 제공한다.,사용자,하,보류,상,,
FR-028,자산 포트폴리오,자산 시각화,사용자 실자산 등록,,,,,,,
FR-029,자산 포트폴리오,자산 시각화,서비스 내 자산 시각화,사용자의 금융 데이터를 실시간 업데이트할 수 있다.,사용자,중,수용,중,개인 자산 수동 입력,박정하
FR-030,자산 포트폴리오,자산 시각화,예상 자산범위 시각화,"과거 변동성을 기반으로, N개월 뒤 예상 자산 범위를 그래프로 제공한다.",사용자,,,,,
FR-031,자산 포트폴리오,"자산 구성 분석 ",보유 자산 분류 및 비율 제공,"현금, 예/적금, 주식, 배당금 등으로 카테고리화하여 자산 비율을 제공한다.",사용자,,,,,
FR-033,리스크 관리,"안전/위험 자산분석 ",자산의 안전성 분석,"안전 자산과 위험자산의 비율을 계산하여 제공한다. ",사용자,상,수용,중,,박정하
FR-034,리스크 관리,리밸런싱 제안,포트폴리오 리밸런싱 추천,"사용자의 투자 성향을 반영하여 자산 비율을 조정하도록 제안한다. ",사용자,상,수용,중,,박정하
FR-035,리스크 관리,리스크 대응,위험 자산 리스크 관리 방법 제안,"분할 매수, 매도 전략 및 목표가 설정 기능을 제공한다.",사용자,중,수용,중,,박정하